(2022-10-13 02:26:36,655) ERROR: scraped_info, 02193: Error when splitting page_source
(2022-10-13 02:26:36,656) ERROR: scraped_info, 02193: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,659) ERROR: scraped_info, 02203: Timeout when loading URL
(2022-10-13 02:26:36,659) ERROR: scraped_info, 02203: Error when splitting page_source
(2022-10-13 02:26:36,661) ERROR: scraped_info, 02203: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,663) ERROR: scraped_info, 02204: Timeout when loading URL
(2022-10-13 02:26:36,664) ERROR: scraped_info, 02204: Error when splitting page_source
(2022-10-13 02:26:36,665) ERROR: scraped_info, 02204: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,668) ERROR: scraped_info, 02205: Timeout when loading URL
(2022-10-13 02:26:36,668) ERROR: scraped_info, 02205: Error when splitting page_source
(2022-10-13 02:26:36,670) ERROR: scraped_info, 02205: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,672) ERROR: scraped_info, 02209: Timeout when loading URL
(2022-10-13 02:26:36,673) ERROR: scraped_info, 02209: Error when splitting page_source
(2022-10-13 02:26:36,674) ERROR: scraped_info, 02209: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,677) ERROR: scraped_info, 02211: Timeout when loading URL
(2022-10-13 02:26:36,677) ERROR: scraped_info, 02211: Error when splitting page_source
(2022-10-13 02:26:36,679) ERROR: scraped_info, 02211: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,681) ERROR: scraped_info, 02217: Timeout when loading URL
(2022-10-13 02:26:36,682) ERROR: scraped_info, 02217: Error when splitting page_source
(2022-10-13 02:26:36,683) ERROR: scraped_info, 02217: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,685) ERROR: scraped_info, 02221: Timeout when loading URL
(2022-10-13 02:26:36,686) ERROR: scraped_info, 02221: Error when splitting page_source
(2022-10-13 02:26:36,688) ERROR: scraped_info, 02221: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,690) ERROR: scraped_info, 02223: Timeout when loading URL
(2022-10-13 02:26:36,690) ERROR: scraped_info, 02223: Error when splitting page_source
(2022-10-13 02:26:36,692) ERROR: scraped_info, 02223: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,695) ERROR: scraped_info, 02224: Timeout when loading URL
(2022-10-13 02:26:36,695) ERROR: scraped_info, 02224: Error when splitting page_source
(2022-10-13 02:26:36,697) ERROR: scraped_info, 02224: Timeout when loading URL for course responsibles
(2022-10-13 02:26:36,699) ERROR: scraped_info, 02229: Timeout when loading URL
